Unnamed: 0,Ticker,Last_Update,Earliest_Record,Asset_Class
0,VFIAX,2020-03-01,2000-11-13,index_funds
1,SPY,2020-03-01,1993-01-29,index_funds
2,VTSAX,2020-03-01,2000-11-13,index_funds
3,FXAIX,2020-03-01,2011-05-04,index_funds
4,IVV,2020-03-01,2000-05-19,index_funds
5,VSMPX,2020-03-01,2015-04-28,index_funds
6,VGTSX,2020-03-01,1996-04-29,index_funds
7,VITSX,2020-03-01,1997-07-07,index_funds
8,VTSMX,2020-03-01,1992-04-27,index_funds
9,VIIIX,2020-03-01,1997-07-07,index_funds
10,VTPSX,,,index_funds
11,VINIX,,,index_funds
12,VTBIX,,,index_funds
13,VBTLX,,,index_funds
14,FCNTX,,,index_funds
15,VWENX,,,index_funds
16,AGTHX,,,index_funds
17,CL,,,comodities_future
18,QM,,,comodities_future
19,NG,,,comodities_future
20,YG,,,comodities_future
21,SI,,,comodities_future
22,YI,,,comodities_future
23,HG,,,comodities_future
24,PL,,,comodities_future
25,CC,,,comodities_future
26,TT,,,comodities_future
27,DY,,,comodities_future
28,DC,,,comodities_future
29,SB,,,comodities_future
30,C,,,comodities_future
31,ZC,,,comodities_future
32,XC,,,comodities_future
33,YC,,,comodities_future
34,O,,,comodities_future
35,ZO,,,comodities_future
36,RR,,,comodities_future
37,W,,,comodities_future
38,S,,,comodities_future
39,FC,,,comodities_future
40,GF,,,comodities_future
41,HE,,,comodities_future
42,LH,,,comodities_future
43,LC,,,comodities_future
44,LE,,,comodities_future
45,SHV,,,bonds
46,TLT,,,bonds
47,IEF,,,bonds
48,SHY,,,bonds
49,GOVT,,,bonds
50,BIL,,,bonds
51,IEI,,,bonds
52,VGSH,,,bonds
53,SCHO,,,bonds
54,SCHR,,,bonds
55,VGIT,,,bonds
56,GBIL,,,bonds
57,SPTL,,,bonds
58,SPTS,,,bonds
59,VGLT,,,bonds
60,EDV,,,bonds
61,SPTI,,,bonds
62,TLH,,,bonds
63,CLTL,,,bonds
64,TBT,,,bonds
65,JAGG,,,bonds
66,ZROZ,,,bonds
67,TMF,,,bonds
68,TBF,,,bonds
69,PLW,,,bonds
70,TMV,,,bonds
71,PST,,,bonds
72,UBT,,,bonds
73,UST,,,bonds
74,TTT,,,bonds
75,TBX,,,bonds
76,SCHQ,,,bonds
77,DTYS,,,bonds
78,TYD,,,bonds
79,TYO,,,bonds
80,TAPR,,,bonds
81,RISE,,,bonds
82,DTYL,,,bonds
83,DTUL,,,bonds
84,DFVL,,,bonds
85,DLBS,,,bonds
86,FLAT,,,bonds
87,STPP,,,bonds
88,DFVS,,,bonds
89,DTUS,,,bonds
90,TYBS,,,bonds
91,DLBL,,,bonds
